country,population
China,1425671352
India,1417173173
United States,339996563
Indonesia,277534122
Pakistan,240485658
Nigeria,223804632
Brazil,216422446
Bangladesh,172954319
Russia,144444359
Mexico,128455567
Japan,123294513
Ethiopia,126527060
Philippines,117337368
Egypt,112716598
Vietnam,98858950
DR Congo,102262808
Turkey,85816199
Iran,89172767
Germany,83294633
Thailand,71801279
United Kingdom,67736802
France,64756584
Tanzania,67438106
South Africa,60414495
Italy,58870762
Myanmar,54577997
Kenya,55100586
South Korea,51784059
Colombia,52085168
Spain,47519628
Uganda,48582334
Argentina,45773884
Algeria,45606480
Sudan,48109006
Ukraine,36744634
Iraq,45504560
Afghanistan,42239854
Poland,41026067
Canada,38781291
Morocco,37984655
Angola,36684202
Saudi Arabia,36947025
Uzbekistan,35163944
Peru,34352719
Malaysia,34308525
Mozambique,33897354
Ghana,34121985
Yemen,34449825
Nepal,30896590
Venezuela,28301696
Madagascar,30325732
Cameroon,28647293
Ivory Coast,29389150
North Korea,26160822
Niger,27202843
Australia,26439111
Sri Lanka,21763170
Burkina Faso,23251485
Mali,23293698
Chile,19629590
Kazakhstan,19606633
Romania,19051562
Malawi,20931751
Zambia,20569737
